,munid_cur,tier_cur_x,regionShort,munname_cur,"Population, 2021 (UT Roll Up)","Land area in acres, 2021 (UT Roll Up)",Farm Property Count,Farm Acres,2023 FAM
151,4010,LT,Southwest,South Huron M,10063,105049.2776,1081,92563.6223,0.8811
152,4040,LT,Southwest,Huron East M,9512,165350.3107,1718,151239.276,0.9147
153,4046,LT,Southwest,Howick Tp,4045,70807.93775,672,63400.22902,0.8954
154,4030,LT,Southwest,Central Huron M,7799,111056.4002,1096,88967.76433,0.8011
155,4070,LT,Southwest,Ashfield-Colborne-Wawanosh Tp,5884,145020.9824,1319,123181.0544,0.8494
156,4060,LT,Southwest,Morris-Turnberry M,3590,93131.40345,910,82706.86234,0.8881
157,4050,LT,Southwest,North Huron Tp,5052,44234.26605,364,37772.62669,0.8539
158,3650,ST,Southwest,Chatham-Kent M,103988,605876.7495,8319,526925.1581,0.8697
159,3800,UT,Southwest,Lambton Co,126273,701928.934,7947,589314.2299,0.8396
160,3829,LT,Southwest,Sarnia C,72047,40500.5095,344,19219.20763,0.4745
161,3845,LT,Southwest,Lambton Shores M,11876,81685.49985,890,58713.72208,0.7188
162,3819,LT,Southwest,Petrolia T,6013,3078.9283,25,831.3654203,0.27
163,3835,LT,Southwest,Plympton-Wyoming T,8308,78791.9003,899,69680.52231,0.8844
164,3818,LT,Southwest,Oil Springs V,647,2011.4347,62,1428.239892,0.7101
165,3831,LT,Southwest,Point Edward V,1930,815.4465,0,0,0
166,3816,LT,Southwest,Enniskillen Tp,2825,83533.84525,897,77528.24076,0.9281
167,3806,LT,Southwest,Dawn-Euphemia Tp,1968,109996.3197,1390,99857.5193,0.9078
168,3841,LT,Southwest,Warwick Tp,3641,71712.34205,833,65261.99214,0.9101
169,3815,LT,Southwest,Brooke-Alvinston M,2359,76950.96805,836,71325.85656,0.9269
170,3805,LT,Southwest,St. Clair Tp,14659,152851.7399,1771,125467.5638,0.8208
171,900,UT,East,Lanark Co,66506,735641.4692,2372,207841.4894,0.2825
172,904,ST,East,Smiths Falls T,9254,2387.0343,1,42.56618773,0.0178
173,928,LT,East,Carleton Place T,12517,2456.2237,6,15.26784544,0.0062
174,921,LT,East,Perth T,6469,3017.15205,1,9.74427598,0.0032
175,931,LT,East,Mississippi Mills T,14740,126332.4313,644,52259.10445,0.4137
176,924,LT,East,Beckwith Tp,9021,59134.69755,208,19575.96273,0.331
177,901,LT,East,Montague Tp,3914,68811.32935,191,17909.70938,0.2603
178,940,LT,East,Lanark Highlands Tp,5737,254893.7496,378,35193.34747,0.1381
179,919,LT,East,Drummond-North Elmsley Tp,8183,90358.88535,512,44042.44231,0.4874
180,911,LT,East,Tay Valley Tp,5925,130637.0003,432,38835.91091,0.2973
181,700,UT,East,Leeds and Grenville UCo,72493,821068.1387,3470,325221.719,0.3961
182,802,ST,East,Brockville C,22116,5166.96555,0,0,0
183,814,ST,East,Gananoque T,5383,1732.20605,1,50.63791918,0.0292
184,708,ST,East,Prescott T,4078,1220.6987,0,0,0
185,842,LT,East,Westport V,634,541.15995,2,139.2698341,0.2574
186,714,LT,East,Merrickville-Wolford V,3135,52962.01465,177,16613.5062,0.3137
187,706,LT,East,Augusta Tp,7386,77534.13585,294,27380.30859,0.3531
188,806,LT,East,Front of Yonge Tp,2595,30949.90125,134,10644.78271,0.3439
189,719,LT,East,North Grenville M,17964,86956.2495,444,31967.27967,0.3676
190,831,LT,East,Rideau Lakes Tp,10883,175891.81,653,72286.72997,0.411
191,819,LT,East,Athens Tp,3042,32009.9817,150,13372.86176,0.4178
192,701,LT,East,Edwardsburgh-Cardinal Tp,7505,76580.31055,330,26733.71326,0.3491
193,812,LT,East,Leeds and the Thousand Islands Tp,9804,150262.0795,694,63885.08584,0.4252
194,801,LT,East,Elizabethtown-Kitley Tp,9545,137380.4958,592,62198.18119,0.4527
195,1100,UT,East,Lennox and Addington Co,45182,690095.0756,1948,176593.2271,0.2559
196,1121,LT,East,Greater Napanee T,16879,114236.6415,712,60938.14354,0.5334
197,1134,LT,East,Addington Highlands Tp,2534,319751.399,24,3674.450691,0.0115
198,1104,LT,East,Loyalist Tp,17943,84687.8256,472,43118.06068,0.5091
199,1124,LT,East,Stone Mills Tp,7826,171419.2096,740,68862.57217,0.4017
200,3900,UT,Southwest,Middlesex Co,78110,697191.9312,7996,595107.3819,0.8536
201,3936,ST,Southwest,London C,422324,103907.6525,595,35352.73183,0.3402
202,3902,LT,Southwest,Newbury V,440,437.37585,15,292.4816283,0.6687
203,3939,LT,Southwest,Middlesex Centre M,18928,145337.2768,1619,123788.8987,0.8517
204,3958,LT,Southwest,Lucan Biddulph Tp,5680,41780.5134,514,36484.97477,0.8733
205,3946,LT,Southwest,Adelaide Metcalfe Tp,3011,81818.93655,949,75197.55505,0.9191
206,3954,LT,Southwest,North Middlesex M,6307,147929.4082,1633,130694.7473,0.8835
207,3906,LT,Southwest,Southwest Middlesex M,5893,105716.4611,1223,88396.14034,0.8362
208,3916,LT,Southwest,Strathroy-Caradoc M,23871,66930.8603,825,52895.39158,0.7903
209,3926,LT,Southwest,Thames Centre M,13980,107241.099,1218,87357.19247,0.8146
210,1400,UT,Central,Northumberland Co,88823,468214.554,3768,267391.6841,0.5711
211,1421,LT,Central,Cobourg T,20519,5537.62305,8,756.9336802,0.1367
212,1408,LT,Central,Brighton M,12108,55163.7202,391,27601.31378,0.5004
213,1435,LT,Central,Trent Hills M,13861,126974.9043,1133,82406.47793,0.649
214,1423,LT,Central,Port Hope M,17294,68892.874,564,41404.42816,0.601
215,1419,LT,Central,Hamilton Tp,11059,63266.29315,562,39237.92826,0.6202
216,1450,LT,Central,Alnwick-Haldimand Tp,7473,98409.56625,703,49906.43327,0.5071
217,1411,LT,Central,Cramahe Tp,6509,49969.5731,407,26078.16904,0.5219
218,3100,UT,Southwest,Perth Co,40947,537646.1169,5752,488041.4401,0.9077
219,3111,ST,Southwest,Stratford C,33232,7418.0921,32,1213.272321,0.1636
220,3116,ST,Southwest,St. Marys T,7386,3073.9862,15,434.9538063,0.1415
221,3140,LT,Southwest,North Perth M,15538,121845.0045,1276,111961.6861,0.9189
222,3110,LT,Southwest,Perth East Tp,12595,175921.4626,1903,158309.1455,0.8999
223,3120,LT,Southwest,Perth South Tp,3776,96835.5074,1005,85308.79462,0.881
224,3130,LT,Southwest,West Perth M,9038,143044.1424,1568,132461.8139,0.926
225,1500,UT,Central,Peterborough Co,62445,914080.9318,2796,247957.1504,0.2713
226,1514,ST,Central,Peterborough C,83651,16002.5198,37,1318.281986,0.0824
227,1501,LT,Central,Asphodel-Norwood Tp,4658,39937.1101,319,28611.53136,0.7164
228,1536,LT,Central,North Kawartha Tp,2877,184426.8168,11,1426.711828,0.0077
229,1509,LT,Central,Cavan Monaghan Tp,10016,75710.50095,556,45202.74303,0.597
230,1522,LT,Central,Douro-Dummer Tp,7632,113534.8633,496,46067.86288,0.4058
231,1542,LT,Central,Trent Lakes M,6439,206016.3806,85,10760.88598,0.0522
232,1531,LT,Central,Havelock-Belmont-Methuen Tp,5083,130805.0318,137,13636.22031,0.1042
233,1506,LT,Central,Otonabee-South Monaghan Tp,7087,85535.39575,673,60151.27663,0.7032
234,1516,LT,Central,Selwyn Tp,18653,78114.8326,519,42099.91836,0.5389
235,200,UT,East,Prescott and Russell UCo,95639,495267.6094,4226,307228.0623,0.6203
236,316,LT,East,Clarence-Rockland C,26505,73506.32435,519,32702.49408,0.4449
237,208,LT,East,Hawkesbury T,10194,2495.7605,1,11.05822209,0.0044
238,302,LT,East,Casselman V,3960,1267.64865,6,138.3584998,0.1091
239,201,LT,East,East Hawkesbury Tp,3418,58084.5013,553,41583.47209,0.7159
240,306,LT,East,Russell Tp,19598,49119.5319,538,35808.72227,0.729
241,231,LT,East,Alfred and Plantagenet Tp,9949,96813.26795,784,57793.45712,0.597
242,209,LT,East,Champlain Tp,8665,51155.6771,428,34882.65828,0.6819
243,212,LT,East,The Nation M,13350,162824.8976,1397,104307.8417,0.6406
244,1350,ST,East,Prince Edward Co,25704,260105.194,1737,138531.2043,0.5326
245,4700,UT,East,Renfrew Co,91511,1812821.585,3328,343161.2513,0.1893
246,4764,ST,East,Pembroke C,14364,3538.5436,5,331.3203926,0.0936
247,4702,LT,East,Arnprior T,9629,3222.2492,6,208.9249118,0.0648
248,4796,LT,East,Deep River T,4175,12421.96835,0,0,0
249,4748,LT,East,Renfrew T,8190,3165.41505,4,158.8481131,0.0502
250,4779,LT,East,Petawawa T,18160,40698.1935,15,1469.216409,0.0361
251,4792,LT,East,Laurentian Hills T,2885,156741.1726,4,255.873219,0.0016
252,4798,LT,East,"Head, Clara and Maria Tp",267,177717.916,0,0,0
253,4746,LT,East,Horton Tp,3182,39047.5321,197,15904.38018,0.4073
254,4701,LT,East,Mcnab-Braeside Tp,7591,63080.9644,287,26427.96244,0.419
255,4719,LT,East,"Brudenell, Lyndoch and Raglan Tp",1552,173292.2654,157,23480.66528,0.1355
256,4769,LT,East,North Algona Wilberforce Tp,3111,91238.57915,263,22981.33272,0.2519
257,4742,LT,East,Admaston-Bromley Tp,2995,128393.287,683,72193.64194,0.5623
258,4766,LT,East,Laurentian Valley Tp,9450,133209.3634,349,31946.38012,0.2398
259,4731,LT,East,"Killaloe, Hagarty and Richards Tp",2410,96766.318,97,11772.21637,0.1217
260,4726,LT,East,Madawaska Valley Tp,3927,164529.9222,36,5104.984446,0.031
261,4738,LT,East,Bonnechere Valley Tp,3898,145386.6978,355,45539.99825,0.3132
262,4758,LT,East,Whitewater Region Tp,7225,132319.7854,806,77026.02124,0.5821
263,4706,LT,East,Greater Madawaska Tp,2864,251589.9558,69,8690.80563,0.0345
264,4300,UT,Central,Simcoe Co,350222,1143666.187,6724,500124.703,0.4373
265,4342,ST,Central,Barrie C,147829,24465.86605,38,2744.541251,0.1122
266,4352,ST,Central,Orillia C,33411,7049.90565,2,52.34243351,0.0074
267,4331,LT,Central,Collingwood T,24811,8191.53075,13,349.5207442,0.0427
268,4374,LT,Central,Midland T,17817,8730.21965,18,1081.708539,0.1239
269,4372,LT,Central,Penetanguishene T,10077,6281.4091,12,606.1201769,0.0965
270,4364,LT,Central,Wasaga Beach T,24862,14188.7691,6,442.1216071,0.0312
271,4316,LT,Central,Innisfil T,43326,64837.88095,539,37640.18191,0.5805
272,4312,LT,Central,Bradford West Gwillimbury T,42880,49589.0314,673,29612.60978,0.5972
273,4324,LT,Central,New Tecumseth T,43948,67674.64635,601,37920.81744,0.5603
274,4321,LT,Central,Essa Tp,22970,69169.6316,500,36292.59246,0.5247
275,4368,LT,Central,Tiny Tp,12966,82792.53025,308,23900.76222,0.2887
276,4301,LT,Central,Adjala-Tosorontio Tp,10989,91806.92065,592,42037.26333,0.4579
277,4329,LT,Central,Clearview Tp,14814,137481.8089,1093,84120.68363,0.6119
278,4346,LT,Central,Oro-Medonte Tp,23017,144660.2091,770,62973.84273,0.4353
279,4348,LT,Central,Ramara Tp,10377,102533.7487,463,42362.10245,0.4132
280,4351,LT,Central,Severn Tp,14576,129250.7413,303,24734.07837,0.1914
281,4341,LT,Central,Springwater Tp,21701,132411.2143,707,64973.86933,0.4907
282,4353,LT,Central,Tay Tp,11091,34065.8953,126,11076.42832,0.3251
283,100,UT,East,"Stormont, Dundas and Glengarry UCo",66792,799518.1117,6718,528464.6422,0.661
284,402,ST,East,Cornwall C,47845,15196.9575,27,1813.066535,0.1193
285,511,LT,East,North Dundas Tp,11304,124148.0231,1251,94614.94373,0.7621
286,506,LT,East,South Dundas M,11044,128875.1417,1131,82622.36901,0.6411
287,111,LT,East,North Glengarry Tp,10144,158987.357,1174,104920.9113,0.6599
288,101,LT,East,South Glengarry Tp,13330,149503.4671,1314,100413.3822,0.6716
289,411,LT,East,North Stormont Tp,7400,127372.7433,1086,93329.93049,0.7327
290,406,LT,East,South Stormont Tp,13570,110631.3795,762,52563.10545,0.4751
291,1651,ST,Central,Kawartha Lakes C,79247,749632.5543,3552,351759.75,0.4692
292,2300,UT,Central,Wellington Co,97286,637021.8637,5713,485621.2066,0.7623
293,2308,ST,Central,Guelph C,143740,21604.39015,18,1018.223231,0.0471
294,2316,LT,Central,Erin T,11981,73837.44505,636,44218.20477,0.5989
295,2341,LT,Central,Minto T,9094,74178.44995,721,62426.25473,0.8416
296,2301,LT,Central,Puslinch Tp,7944,53083.0961,317,22806.33588,0.4296
297,2326,LT,Central,Centre Wellington Tp,31093,101167.2581,893,74116.20323,0.7326
298,2311,LT,Central,Guelph-Eramosa Tp,13904,72362.2282,659,55988.63366,0.7737
299,2332,LT,Central,Mapleton Tp,10839,132339.5538,1320,118202.5261,0.8932
300,2349,LT,Central,Wellington North Tp,12431,130053.8325,1167,107863.0482,0.8294
301,5761,ST,Northeast,Sault Ste Marie C,72051,54854.83895,24,849.1315248,0.0155
302,5741,ST,Northeast,Elliot Lake C,11372,171999.9063,0,0,0
303,5738,ST,Northeast,Blind River T,3422,127007.0279,1,108.7037829,0.0009
304,5721,ST,Northeast,Bruce Mines T,582,1504.86945,0,0,0
305,5728,ST,Northeast,Thessalon T,1260,1082.3199,1,22.85857975,0.0211
306,5739,ST,Northeast,Spanish T,670,26415.5245,0,0,0
307,5706,ST,Northeast,Hilton Beach V,198,622.7046,0,0,0
308,5704,ST,Northeast,Hilton Tp,382,28360.24085,4,370.2552728,0.0131
309,5701,ST,Northeast,Jocelyn Tp,314,32229.90515,14,1575.852036,0.0489
310,5716,ST,Northeast,Johnson Tp,749,29521.63435,103,10826.91666,0.3667
311,5711,ST,Northeast,Laird Tp,1121,25513.59125,85,8850.402182,0.3469
312,5751,ST,Northeast,Macdonald Meredith et al Tp,1513,40342.3623,71,6238.97969,0.1547
313,5776,ST,Northeast,Wawa M,2705,101780.0784,5,656.33381,0.0064
314,5719,ST,Northeast,Plummer Additional Tp,757,54175.3002,125,15135.75017,0.2794
315,5766,ST,Northeast,Prince Tp,975,20998.9829,1,14.46413077,0.0007
316,5708,ST,Northeast,St. Joseph Tp,1426,31542.95325,113,9288.446977,0.2945
317,5714,ST,Northeast,Tarbutt Tp,573,13044.67295,36,4075.727344,0.3124
318,5796,ST,Northeast,Hornepayne Tp,968,50172.1992,0,0,0
319,5740,ST,Northeast,The North Shore Tp,531,56876.15785,0,0,0
320,5791,ST,Northeast,White River Tp,557,23610.88275,0,0,0
321,5779,ST,Northeast,Dubreuilville Tp,576,21629.10065,0,0,0
322,5724,ST,Northeast,Huron Shores M,1860,111659.3364,133,16280.17681,0.1458
323,5627,ST,Northeast,Timmins C,41145,730276.8197,79,5413.075707,0.0074
324,5676,ST,Northeast,Hearst T,4794,24231.1163,3,600.7436797,0.0248
325,5631,ST,Northeast,Iroquois Falls T,4418,148023.3082,86,9830.449993,0.0664
